Group URL,Members Count,Group Name
https://www.facebook.com/groups/807147959841449/,81,PAKISTAN PROPERTY COUNCIL (0332-2638077)
https://www.facebook.com/groups/172955048884/,87,ISLAMIAN SOFTWARE ENGINEERING CLUB
https://www.facebook.com/groups/604520051520981/,153,Pakistan  page ðŸ‡µðŸ‡°
https://www.facebook.com/groups/277804614106586/,815,Crypto Engineer's
https://www.facebook.com/groups/709133332510129/,815,Software Engineering Community of UOL
https://www.facebook.com/groups/245329859139746/,840,Civil Engineering
https://www.facebook.com/groups/pakistanirunnerscommunity/,7600,Pakistani Runners Community
https://www.facebook.com/groups/Pakistansportssciencescouncil/,8400,Pakistan Sports Sciences Council (PSSC)
https://www.facebook.com/groups/pakistansteelupdate/,8500,Pakistan's Steel Update
https://www.facebook.com/groups/2977048692356255/,8500,Civil Engineer Problem Saloution
https://www.facebook.com/groups/381794754332026/,8600,Pakistan petroleum Group
https://www.facebook.com/groups/1491438474418612/,8800,Civil Engineering seekers
https://www.facebook.com/groups/935881033267581/,8800,Pakistani Ladies Club New York
https://www.facebook.com/groups/665765836899181/,8800,NBP MOHAFIZ National Bank of Pakistan Friends
https://www.facebook.com/groups/151897169810359/,8800,Pakistani Entertainment in California
https://www.facebook.com/groups/1061555667258864/,8900,Pakistani in Poland
https://www.facebook.com/groups/CSEGIM/,9000,Civil & Structural Engineers Group in Malaysia
https://www.facebook.com/groups/267215041649410/,9000,All Pakistan Lubricant's Menufecturer
https://www.facebook.com/groups/332133041013633/,9100,Pakistani Students in portugal
https://www.facebook.com/groups/248497196639390/,9300,Truck  Pakistan DGK
https://www.facebook.com/groups/488789955086448/,9300,Pakistan & Overseas Jobs
https://www.facebook.com/groups/236631134424519/,9300,Engineering forum
https://www.facebook.com/groups/517583493167860/,9300,All Pakistan Mobile scrap.
https://www.facebook.com/groups/491204911666308/,9400,LHV & Paramedics Jobs Pakistan
https://www.facebook.com/groups/596000380410413/,9500,Cyber Security Group - Pakistan
https://www.facebook.com/groups/318884859443420/,9600,Lhv and Nurses job in pakistan
https://www.facebook.com/groups/www.artscouncil.org.pk/,9600,Arts Council of Pakistan-Karachi
https://www.facebook.com/groups/dixitdivyanshu/,9600,Engineering is my passion......
https://www.facebook.com/groups/275924369157676/,9700,Structural Engineering Forum (SEF)
https://www.facebook.com/groups/705835386235117/,9800,Jobs Islamabad & Pindi ( Platform For Both Employer & Employee)
https://www.facebook.com/groups/1540271286152045/,9800,Job For DAE Engineer
https://www.facebook.com/groups/297758234389167/,9800,PEC Engineers Association
https://www.facebook.com/groups/110649759374928/,9900,Pakistani Group
https://www.facebook.com/groups/829052848830695/,10200,SAUDI COUNCIL OF ENGINEERS
https://www.facebook.com/groups/1348294432305536/,10300,Pakistan Cargo Services
https://www.facebook.com/groups/3978125075745323/,10300,Pakistani drama
https://www.facebook.com/groups/738156867925968/,10400,Jobs in Twin cities of Pakistan (Islamabad & Rawalpindi)
https://www.facebook.com/groups/147678758697467/,10500,ELITE SAWARI CARGO LOADER
https://www.facebook.com/groups/281152864376447/,10500,Power Eagles:FLP Community
https://www.facebook.com/groups/874807927691999/,10600,Pakistani Community in PortugalðŸ‡µðŸ‡¹ðŸ‡µðŸ‡°
https://www.facebook.com/groups/3480784055359441/,10700,Pi Network Pakistan
https://www.facebook.com/groups/pakistanicommunityinusaandcanada/,10700,Pakistani Community in USA & Canada
https://www.facebook.com/groups/118396402224655/,10900,05-Intelligence bureau (I.B) Pakistan.about test information.
https://www.facebook.com/groups/843762369352378/,11100,"Driver ,, Nanny ,, Cook ,, Maid ,, Domestic  help jobs Pakistan."
https://www.facebook.com/groups/752040918720599/,11300,Pakistani in Toronto-GGTA
https://www.facebook.com/groups/505756023586671/,11500,PEC Supervisory Engineers and REs Awareness Platform
https://www.facebook.com/groups/181898069283299/,11500,Pakistani Community of New Jersey
https://www.facebook.com/groups/664841582423284/,11500,Sajal Ali - Pakistani Actress
https://www.facebook.com/groups/1178921375474963/,11800,Pakistani Architects
https://www.facebook.com/groups/697604074113983/,11900,Civil Engineering India
https://www.facebook.com/groups/1915352918584025/,12300,Pakistani moms in Canada ðŸ‡¨ðŸ‡¦
https://www.facebook.com/groups/929035148230091/,12400,QUOTEX TRADING IN PAKISTAN
https://www.facebook.com/groups/1287011386032403/,12800,Lithium Phosphate Battery Pakistan
https://www.facebook.com/groups/486598925609330/,15800,Couple Riders Pakistan
https://www.facebook.com/groups/1611165756378509/,17200,All pakistani drama fan
https://www.facebook.com/groups/2718065348442839/,18300,All pakistan Electric dealers
https://www.facebook.com/groups/173549212264588/,23500,Mechanical engineering and innovation
https://www.facebook.com/groups/733449038814283/,27200,Pakistani princess
https://www.facebook.com/groups/293398402008698/,45400,Civil Engineering World
https://www.facebook.com/groups/358633114339955/,73700,overseas pakistani marriage bureau(www.zavaaj.com)
https://www.facebook.com/groups/1017766644961150/,76800,solar market Pakistan
https://www.facebook.com/groups/621372395552059/,77400,Study in UK ðŸ‡¬ðŸ‡§ for Pakistani ðŸ‡µðŸ‡° students
https://www.facebook.com/groups/816385028840160/,77700,Jobs Pakistan
https://www.facebook.com/groups/pakistancommunityinuk/,77800,Pakistan Community in UK
https://www.facebook.com/groups/constructionsolutions/,80200,Construction Solutions in Pakistan
https://www.facebook.com/groups/mechanical.engineering.community/,80600,Mechanical Engineering Communityâ„¢
https://www.facebook.com/groups/NOA.LAHORE/,81300,NOA-National Officers Academy
https://www.facebook.com/groups/1483628598582126/,82200,Study & Life in Austria ( For Pakistani Students )
https://www.facebook.com/groups/1623208641057744/,83100,Engineering Jobs Philippines
https://www.facebook.com/groups/1108867319808590/,83300,Pakistan Jobs and Education information Group
https://www.facebook.com/groups/327956591382151/,83300,Pakistani Business Community Of USA
https://www.facebook.com/groups/859266464843722/,84800,Binance Crypto Pakistan
https://www.facebook.com/groups/2328444860705279/,84900,I am Civil Engineer
https://www.facebook.com/groups/563962057874525/,85100,CONSTRUCIT - Digitising Construction
https://www.facebook.com/groups/502083590796966/,86100,Restaurant jobs in Pakistan   Ø±ÛŒØ³Ù¹ÙˆØ±Ù†Ù¹ Ú©ÛŒ Ø¬Ø§Ø¨ Ù¾Ø§Ú©Ø³ØªØ§Ù†
https://www.facebook.com/groups/307477129949940/,87200,Architects of Pakistan
https://www.facebook.com/groups/245382062569019/,89400,Civil Engineering Experts
https://www.facebook.com/groups/109906431608/,89400,Pakistani Students in Germany
https://www.facebook.com/groups/latestjobsandinternships/,90300,Jobs & Internships Pakistan
https://www.facebook.com/groups/1076010849890805/,91800,All-Pakistan Spare Parts Menufactures & Dealers (APSPMD)
https://www.facebook.com/groups/483754839279780/,92000,Pakistan
https://www.facebook.com/groups/pakistani.dramas.group1/,93500,Pakistani Dramas Lover's
https://www.facebook.com/groups/122657295129057/,95100,Pakistani Marble
https://www.facebook.com/groups/185390198215162/,95200,Daily Government Jobs in Pakistan - Ú¯ÙˆØ±Ù†Ù…Ù†Ù¹ Ú©ÛŒ Ù†ÙˆÚ©Ø±ÛŒØ§Úº
https://www.facebook.com/groups/1236463527108778/,95600,Gold Rate Pakistan Daily Update
https://www.facebook.com/groups/TheBankersForum/,95800,The Bankers Forum - (Pakistan)
https://www.facebook.com/groups/3037058876397441/,96900,Pakistani Stage Drama
https://www.facebook.com/groups/pakindia.heritage/,98900,Pak India Heritage
https://www.facebook.com/groups/1043517699594579/,105000,Google Pixel Pakistan
https://www.facebook.com/groups/1213556915337664/,125200,MECHANICAL ENGINEERING IN THE WORLD
https://www.facebook.com/groups/303168311067353/,131100,Electrical engineering world
https://www.facebook.com/groups/481336620156850/,133000,Top Architecture Designs
https://www.facebook.com/groups/1082288379037569/,211400,Electrical Wiring - RT Electrical
https://www.facebook.com/groups/345353122489028/,251500,Electrical world (All Industrial and building electricity)
https://www.facebook.com/groups/591699753149983/,342500,ELECTRICAL Tech USA Community
https://www.facebook.com/groups/352274306735419/,773600,Pakistan group
https://www.facebook.com/groups/1511279735770917/,819400,Civil Engineering Forum
https://www.facebook.com/groups/Mech.Eng.World.Group/,837400,Mechanical Engineering World
https://www.facebook.com/groups/2917352325033800/,852200,Electrical work
https://www.facebook.com/groups/832137557346236/,,pakistan cirket
